Word|Antonym1,Antonym2,Antonym3,Antonym4
completely|partly
completeness|incompleteness
computer|RISC,reduced
computing|RISC,reduced
complex|simple
complexity|simplicity
complexness|simplicity
compliance|noncompliance,nonconformity
compliant|defiant
complicate|simplify
complimentary|uncomplimentary
comport|misbehave
composed|discomposed
composure|discomposure
compound|simple
comprehendible|incomprehensible
comprehensibility|incomprehensibility
comprehensible|incomprehensible
comprehension|incomprehension
comprehensive|noncomprehensive
comprehensively|noncomprehensively
compress|decompress
compressibility|incompressibility
compressible|incompressible
compressing|decompression
compression|decompression
compromising|uncompromising
hardware|software
software|hardware
con|pro
polygon|convex
concave|convex
concavely|convexly
conceal|show
concealed|unconcealed
concealing|revealing
concentrate|deconcentrate,decentralise,decentralize
concentrated|distributed,soft,unsaturated
concentration|distribution,dilution
concentric|eccentric
concentrical|eccentric
concentricity|eccentricity
concept|misconception
conception|misconception
concern|unconcern
concerned|unconcerned
music|monophonic
conciliative|antagonistic
conciliatory|uncompromising,antagonistic
concise|prolix
conclusion|beginning
conclusive|inconclusive
conclusively|inconclusively
conclusiveness|inconclusiveness
concord|disagree
concrete|abstract
concretely|abstractly
concreteness|abstractness
concur|disagree
condemnation|acquittal,approbation
conditional|unconditional
conditionally|unconditionally
conditioned|unconditioned
conductive|nonconductive
conductor|insulator
confidence|diffidence
confident|unconfident
confidingly|distrustfully
confine|free
confined|unconfined,invasive
confirm|negate
confirmed|unconfirmed
confirming|negative
confluent|distributary
to|violate
conform|deviate
conformation|noncompliance,nonconformity
conformism|nonconformism,nonconformity
conformist|nonconformist
conformity|noncompliance,nonconformity,nonconformism
confront|avoid
confused|clearheaded
confute|prove
congenial|uncongenial
congeniality|uncongeniality
congest|unclog
congruence|incongruousness,incongruity
congruent|incongruent,incongruous
congruity|incongruousness,incongruity
congruous|incongruous
congruousness|incongruousness,incongruity
conjoin|disjoin
conjugation|disunion
conjunct|disjunct
conjunctive|disjunctive
conk|be
connate|adnate
connect|dissociate,unplug,disconnect
connected|unconnected
connectedness|disconnectedness,unconnectedness
connection|unconnectedness,disconnectedness
connexion|unconnectedness
connotative|denotative
conquerable|unconquerable
consanguinity|affinity
conscientious|unconscientious
conscientiousness|unconscientiousness
conscious|unconscious
consciously|unconsciously
consciousness|incognizance,unconsciousness
conscript|volunteer
consecrate|desecrated,desecrate
consecrated|desecrated
operation|parallel
consent|refuse
consequence|inconsequence
consequentially|inconsequentially
conservative|liberal
conservativist|liberal
conserve|waste
considerable|inconsiderable
considerate|inconsiderate
considerately|inconsiderately
considerateness|thoughtlessness,inconsideration
consideration|thoughtlessness,inconsideration
consistence|inconsistency
consistency|inconsistency
consistent|inconsistent,incoherent,unreproducible
consistently|unsystematically,inconsistently
consolable|inconsolable
consonant|vowel
consonantal|vocalic
conspicuous|inconspicuous
conspicuously|inconspicuously
conspicuousness|inconspicuousness
constancy|inconstancy
constant|inconstant
font|proportional
constipated|unconstipated
constituted|unestablished
constitutional|unconstitutional
constitutionally|unconstitutionally
constricted|unconstricted
construct|misconception
construction|misconstruction
metabolism|catabolism
constructive|destructive
constructiveness|destructiveness
consume|abstain
consummated|unconsummated
consumptive|generative
contaminate|decontaminate
contaminated|uncontaminated
contaminating|clean
contamination|decontamination
contemplative|active
contemptible|estimable
content|discontented,discontent
contented|discontented
contention|cooperation
contentment|discontentment
contestable|incontestable
contested|uncontested
continent|incontinent
continental|intercontinental
continual|sporadic
continuance|discontinuation,discontinuance
consonant|stop
continuant|stop
continuation|discontinuation,discontinuance
continue|discontinue
continued|discontinued
continuity|discontinuity
continuous|discontinuous
contraclockwise|clockwise
in|contract
out|contract
contract|expand,widen,expand,stretch
contracted|expanded
contraction|expansion
contradict|affirm
contraindicate|indicate
contraindication|indication
contralateral|ipsilateral
contrapuntal|monophonic
contrasty|flat
control|unrestraint
controlled|uncontrolled
controversial|uncontroversial
controversially|uncontroversially
convalesce|deteriorate
convenience|inconvenience
convenient|incommodious,inconvenient
conveniently|inconveniently
convention|unconventionality
conventional|unconventional,unconventional,nuclear
conventionalism|unconventionality
conventionality|unconventionality
conventionally|unconventionally
converge|diverge,diverge
convergence|divergency,divergence
convergency|divergency,divergence
thinking|divergent
convergent|divergent
convertibility|inconvertibility
convertible|inconvertible
polygon|concave
convex|concave
convexly|concavely
convey|take
convict|acquit
conviction|acquittal
convinced|unconvinced
convincing|unconvincing
convincingly|unconvincingly
cooked|raw
apple|eating
down|heat
cool|warm,heat
cooperation|competition
cooperative|uncooperative
coordinating|subordinating
coordination|incoordination
coordinative|subordinating
copiousness|scarcity
reception|inhospitality
up|uncork
cork|uncork
corporality|incorporeality,immateriality
corporeal|incorporeal
corporeality|incorporeality,immateriality
light|wave
theory|wave
correct|wrong,incorrect,falsify,wrong
corrected|uncorrected
correctitude|improperness,impropriety
correctly|wrongly,incorrectly
correctness|incorrectness,wrongness,incorrectness
correspond|disagree
correspondence|asymmetry
corrigible|incorrigible
corroborate|negate
corrupt|incorrupt,straight
corruptibility|incorruptibility
corruption|incorruptness
corruptness|incorruptness
cortex|medulla
cosmopolitan|provincial,endemic
costive|laxative
countenance|disallow,forbid
rotation|dextrorotation
counterclockwise|clockwise
counterfactuality|factuality
counterfeit|genuine
counterrevolutionary|revolutionary
country|urban
on|uncouple
up|uncouple
couple|uncouple
courage|cowardice
courageous|cowardly
courageousness|cowardice
course|unnaturally
courteous|discourteous
courteously|discourteously,impolitely
courtesy|discourtesy
cousinly|uncousinly
cover|uncover
covered|bare
covert|overt
covertly|overtly
cowardice|courage
cowardliness|courage
cowardly|brave
crannied|uncrannied
crate|uncrate
in|turn
crazily|sanely
thinking|uncreativeness
creative|uncreative
creativeness|uncreativeness
creativity|uncreativeness
credibility|incredibility
credible|incredible
credibleness|incredibility
credibly|incredibly
entry|debit
credit|debit,cash
creditor|debtor
credulous|incredulous
credulously|unbelievingly,incredulously
crescendo|decrescendo
prosecution|defense
criminalisation|decriminalisation,decriminalization
criminalise|decriminalise,decriminalize,legalize
criminalization|decriminalisation,decriminalization
criminalize|decriminalise,decriminalize,legalize
critical|noncritical,uncritical
critically|uncritically
criticise|praise
criticize|praise
croak|be
crooked|straight
crookedness|straightness
cross|uncross
crossbred|purebred
cross-country|road
crossed|uncrossed
cross-eyed|walleyed
cross-fertilisation|self-fertilization
cross-fertilization|self-fertilization
cross-pollination|self-pollination
crosswise|lengthwise
crowded|uncrowded
crowned|uncrowned,unlaureled
crownless|crowned
crucial|noncrucial
crude|refined
cry|laugh
cryptogamia|Phanerogamae
crystalline|noncrystalline
crystallised|uncrystallized
crystallized|uncrystallized
cubic|linear,planar
plant|weed
cultivated|uncultivated
curability|incurableness,incurability
curable|incurable
curableness|incurableness,incurability
curdle|homogenise,homogenize,homogenise
curious|incurious
curiousness|nativeness
curl|uncoil
curliness|straightness
curly|straight
current|noncurrent
curse|bless,communicate
cursed|blessed
cursorial|fossorial
curst|blessed
curtained|curtainless
curtainless|curtained
curve|straight
shape|straight
curved|straight
curving|straight
custom|ready-made
custom-built|ready-made
customised|ready-made
customized|ready-made
custom-made|ready-made
cut|uncut,expand,unmown,switch
cyclic|acyclic,noncyclic
cyclical|noncyclic
cyclone|anticyclone
cypher|decode
dabbler|diving
duck|diving
damaged|undamaged
damn|bless
dampen|stimulate
danger|safety
dangerous|safe
dangerousness|safeness
daring|timidity
dark|light,day
darken|brighten
darkness|light,lightness
datable|undatable
dateable|undatable
daughter|boy,son
dauntlessly|fearfully
dawdle|rush
dawn|sunset
dawning|sunset
game|night
rest|workday
school|boarding
day|night
daybreak|sunset
daylight|night
dayspring|sunset
daytime|night
dc|alternating
facto|de
jure|de
deactivate|activate
deactivation|activation
dead|animate,alive,living,live
deaden|enliven
sin|venial
deadness|responsiveness
deaf|hearing
death|birth
debark|embark
debarkation|embarkation
bond|secured
debenture|secured
debilitating|invigorating
entry|credit
debit|credit
debitor|creditor
debtor|creditor
decalcify|calcify
decease|birth,be
deceitfully|honestly
deceive|undeceive
decelerate|accelerate
deceleration|acceleration
decency|indecency
decent|indecent,improperly
decently|indecently,improperly
decentralisation|centralization
decentralise|concentrate,centralize,centralise
decentralised|centralized
decentralising|centralizing
decentralization|centralization
decentralize|concentrate,centralize,centralise
decentralized|centralized
decentralizing|centralizing
decertify|certify
plant|evergreen
deciduous|evergreen
decipher|encode
decipherably|illegibly
deciphered|undeciphered
decision|indecision,indecisiveness
decisive|indecisive
decisively|indecisively
decisiveness|indecision,indecisiveness,inconclusiveness
out|dress
up|dress
declarative|interrogatory,interrogative
declaratory|interrogatory,interrogative
declared|undeclared
declassification|classification
declassify|classify
declension|ascent
declination|improvement,ascent
decline|better,improvement,ascent,accept
declivity|ascent
decode|encode
decolonise|colonise,colonize
decolonize|colonise,colonize
decompress|pressurise,pressurize,tense,compress
decompressing|compression
decompression|compression
deconcentrate|concentrate,centralize,centralise
deconsecrate|consecrate
decontaminate|contaminate
decontamination|contamination
decorated|unadorned
decorous|indecorous
decorously|indecorously
decorousness|indecorousness,indecorum
decorum|indecorousness,indecorum
decouple|associate,couple
decrease|increment,increase,increase
decreased|increased
decreasing|increasing
decrement|increase,increment,increase
decrescendo|crescendo
decriminalisation|criminalisation,criminalization
decriminalise|criminalise,criminalize,outlaw
decriminalization|criminalisation,criminalization
decriminalize|criminalise,criminalize,outlaw
decrypt|encode
server|non-dedicated
dedicated|desecrated,undedicated
dedifferentiate|differentiate
deduct|add
deductible|nondeductible
deduction|addition
deductive|inductive
de-energise|energise,energize
de-energize|energise,energize
deep|shallow
deepness|shallowness
de-escalate|escalate
on|pay
default|payment,pay
defeasible|indefeasible
defeat|victory
defeated|undefeated
defence|offence,offense,prosecution
defend|attack,prosecute
defendant|plaintiff
team|offence,offense
lawyers|prosecution
team|prosecution
defense|offence,offense,prosecution
defensive|offensive
defensively|offensively
payment|cash
defiant|compliant
deficiency|adequacy,sufficiency
deficient|sufficient
deficit|lead
defined|undefined
definite|indefinite
deflate|inflate
deflated|inflated
deflation|inflation,inflation,disinflation
deflationary|inflationary
deform|unbend
defrayal|nonpayment
defrayment|nonpayment
defuse|fuse
defusing|activation
defy|lend
degauss|magnetise,magnetize
degenerate|recuperate
degeneration|evolution
deglycerolise|glycerolize
deglycerolize|glycerolize
degrade|aggrade
dehiscent|indehiscent
dehumanise|humanize
dehumanize|humanize
dehumidify|humidify
dehydrate|hydrate
dehydrogenate|hydrogenate
de-iodinate|iodinate
de-iodinating|iodinating
de-ionate|ionate
deject|elate
dejected|elated
delay|rush
delayed|expedited
delete|record
deliberate|unstudied
deliberately|accidentally,unintentionally
delicate|rugged
delight|disenchant,displease
delineate|undelineated
delineated|undelineated
goods|fail
demagnetise|magnetise,magnetize
demagnetize|magnetise,magnetize
demand|supply,obviate
demanding|undemanding
dematerialise|materialise,materialize
dematerialize|materialise,materialize
dementedly|sanely
demerit|merit
demilitarise|militarise,militarize,arm
demilitarize|militarise,militarize,arm
demise|birth
demob|mobilise,mobilize
demobilisation|mobilization
demobilise|mobilize,mobilise,mobilize
demobilization|mobilization
demobilize|mobilise,mobilize,mobilize
democratic|undemocratic
democratically|undemocratically
demonetisation|monetization
demonetization|monetization
demonstrate|disprove
demonstrative|undemonstrative
demoralise|elate
demoralize|elate
demote|promote
demotion|promotion
demulsify|emulsify
demurrer|prosecution
demystify|mystify
demythologise|mythologize
demythologize|mythologize
denationalisation|nationalization
denationalise|nationalise,nationalize
denationalization|nationalization
denationalize|nationalise,nationalize
denaturalise|naturalize
denaturalize|naturalize
denazify|nazify
deniable|undeniable
denial|prosecution
denitrify|nitrify
denotative|connotative
denotive|connotative
densely|thinly
denseness|distribution
density|distribution
deny|admit,allow
deodorise|odorize,odourise
deodorize|odorize,odourise
deodourise|odorize,odourise
deoxidise|oxidize,oxidise
deoxidize|oxidize,oxidise
depart|conform,come,stay
dependability|unreliableness,unreliability,undependableness,undependability
dependable|undependable,unreliable
dependableness|unreliableness,unreliability,undependableness,undependability
dependably|unreliably,undependably,unfaithfully
dependent|independent
depersonalise|personalise,personalize
depersonalize|personalise,personalize
depigmentation|pigmentation
deport|repatriate
deposit|withdraw,dislodge
depreciate|appreciate
depreciation|appreciation
depress|elate
depressant|stimulative
depression|natural
depressurise|pressurise,pressurize
depressurize|pressurise,pressurize
deprive|enrich
derecognise|certify
derecognize|certify
deregulate|regulate
derequisition|requisition
derestrict|restrict
derivational|inflectional
derived|underived
desalinate|salinate
desalinise|salinate
desalinize|salinate
desalt|salinate
descend|rise,ascend
descendant|ancestor
descendent|ancestor
node|ascending
descending|ascending
descent|ascent
linguistics|prescriptive
descriptive|prescriptive,diachronic,undescriptive
desecrate|consecrate
desecrated|consecrated
desegregate|segregate
desegregation|segregation
desensitise|sensitise,sensitize,sensitize
desensitising|sensitizing
desensitize|sensitise,sensitize,sensitize
desensitizing|sensitizing
deserved|unmerited
deservedly|undeservedly
desiccate|hydrate
designed|undesigned
designedly|accidentally,unintentionally
desirability|undesirability
desirable|undesirable
desirableness|undesirability
desirous|undesirous
desist|consume
despair|hope
apple|cooking
destabilisation|stabilisation,stabilization
destabilise|stabilize,stabilize,stabilise
destabilization|stabilisation,stabilization
destabilize|stabilize,stabilize,stabilise
destalinise|stalinize
destalinize|stalinize
destroyed|preserved
destructibility|indestructibility
destructible|indestructible
metabolism|anabolism
destructive|constructive
destructiveness|constructiveness
desynchronisation|synchronizing,synchronization,synchronism
desynchronise|synchronise,synchronize
desynchronization|synchronizing,synchronization,synchronism
desynchronize|synchronise,synchronize
desynchronizing|synchronizing,synchronization,synchronism
detach|attach
detachable|attachable
detached|attached
detain|free,rush
detected|undetected
deter|persuade
deteriorate|recuperate
determinable|indeterminable
determinate|indeterminate
determined|undetermined
determinedly|unambitiously
deterrence|incentive
detest|love
dethrone|enthrone
detransitivise|transitivize
detransitivize|transitivize
detribalisation|tribalisation,tribalization
detribalization|tribalisation,tribalization
detrimentally|harmlessly
devaluate|appreciate
devalue|appreciate
developed|undeveloped
development|devolution,nondevelopment
deviate|conform
devitalise|vitalize
devitalize|vitalize
devoice|voice
devolution|evolution
devolve|recuperate
dextral|sinistral
dextrorotation|levorotation
diabatic|adiabatic
diachronic|synchronic
diadromous|anadromous,catadromous
diamond|outfield
reptile|anapsid
diapsid|anapsid
diatonic|chromatic
diclinous|monoclinous
dicotyledonous|monocotyledonous
die|be
dielectric|conductor
differ|agree,equal
difference|sameness
different|same,like
differentiate|integrate,dedifferentiate
differentiated|undifferentiated
difficult|easy,manageable
difficultness|ease
difficulty|ease
diffidence|confidence
diffuse|hard
diffused|hard
digestibility|indigestibility
digestible|indigestible
digestibleness|indigestibility
digital|analogue
mammal|plantigrade
digitigrade|plantigrade,plantigrade
dignified|undignified
dilate|contract
diligent|negligent
dilute|undiluted
diluted|undiluted
dilution|concentration
dim|undimmed,focus,brighten
diminish|increase
diminished|hypertrophied
diminution|increase,augmentation
dimmed|undimmed
in|eat
out|eat
dioecian|monoecious
dioecious|monoecious
diploid|polyploid,haploid
diplomatic|undiplomatic
diplomatical|undiplomatic
diplomatically|undiplomatically
antonym|direct
current|alternating
discourse|indirect
evidence|circumstantial
quotation|indirect
direct|alternating,indirect,inverse,collateral,retrograde
directional|omnidirectional
directly|indirectly
directness|indirectness
dirtiness|cleanness
dirty|clean
disable|enable
disabling|enabling
disaccord|agree
disadvantage|advantage
disadvantageous|advantageous
disadvantageously|advantageously,well
disagree|agree
disagreeable|agreeable
disagreeableness|agreeableness
disagreeably|agreeably
disagreement|agreement
disallow|allow,permit
disappear|appear
disappearance|appearance
disappearing|appearance
disapprobation|approbation
disapproval|approval
disapprove|approve
disapproved|approved
disapprovingly|approvingly
disarm|arm
disarmament|armament,arming
disarming|armament,arming
disarrange|arrange
disarranged|arranged
disarray|order
disassemble|assemble
disassembly|assembly
disassociation|association
mating|assortative
disavow|avow
disbelief|belief
disbelieve|believe
disbelievingly|believingly,credulously
disburden|burden
discalceate|calced
discalced|calced
discase|dress
discernable|indiscernible
discernible|indiscernible
discerning|undiscerning
discharge|convict,fill,enlist,charge
discipline|indiscipline
disclaim|claim
discolor|color
discomfort|comfort
discomposed|composed
discomposure|composure
disconfirming|positive
disconnect|connect,plug
disconnected|legato
disconnectedness|connectedness
disconnection|connectedness
disconsolate|consolable
discontent|contented,contentment,content
discontented|contented
discontentedness|contentment
discontentment|contentment
discontinuance|continuation,continuance
discontinuation|continuation,continuance
discontinue|continue
discontinued|continued
discontinuity|continuity
discontinuous|continuous
discord|agree
discordant|accordant
discourage|encourage
discouragement|encouragement
discouraging|encouraging
discouragingly|encouragingly
discourteous|courteous
discourteously|courteously,politely
discourtesy|courtesy
discredit|repute,believe
discreet|indiscreet
discreetly|indiscreetly
discriminate|indiscriminate
discriminating|undiscriminating,indiscriminate
discriminatory|unprejudiced
disembark|embark
disembarkation|embarkation
disembarkment|embarkation
disembarrassment|embarrassment
disenable|enable
disenchant|enchant
disenchanted|enchanted
disenfranchise|enfranchise
disenfranchised|enfranchised
disenfranchisement|enfranchisement
disengage|engage,obstruct
disentangle|snarl,entangle
disequilibrium|equilibrium
disesteem|esteem,esteem,respect
disfavor|advantage
disfavour|advantage
disfranchise|enfranchise
disfranchised|enfranchised
disgorge|keep
disgrace|honor
dishearten|hearten
dishonest|honest
dishonestly|honestly
dishonesty|honesty
dishonor|honor
dishonorable|honest,honorable,glorious
dishonorableness|honorableness
dishonorably|honorably
dishonour|honor
dishonourable|honorable
dishonourableness|honorableness
disillusion|enchant
disincarnate|incarnate
disincentive|incentive
disinclination|inclination
disincline|dispose
disinclined|inclined
disinfect|infect
disinflation|inflation,deflation
disingenuous|ingenuous
disingenuousness|ingenuousness
disinherit|bequeath
disintegrate|integrate
disintegrative|integrative
disinvest|invest
disjoin|join
disjoint|join
disjunct|conjunct
disjunction|connectedness
disjunctive|conjunctive
disjuncture|connectedness
dislike|liking,like
disliked|liked
dislodge|lodge
disloyal|loyal,patriotic
disloyally|loyally
disloyalty|loyalty
dismantle|assemble,raise
dismantlement|assembly
dismantling|assembly
dismay|elate
dismiss|hire
disobedience|obedience,compliance,obedience
disobedient|obedient
disobediently|obediently
disobey|obey
disoblige|oblige
disorder|order,orderliness,order
disordered|ordered
disorderliness|order,orderliness
disorderly|orderly
disorganise|organise,organize
disorganised|organized
disorganize|organise,organize
disorganized|organized
disorient|orient
disorientate|orient
disorienting|orienting
disown|bequeath
disparage|flatter
dispensability|indispensableness,indispensability
dispensable|indispensable
dispensableness|indispensableness,indispensability
dispersion|concentration
dispirit|elate
incompetence|competently
displease|please
displeased|pleased
displeasing|pleasing
disposable|nondisposable
dispose|indispose,disqualify
disproportion|proportion
disproportional|proportionate
disproportionate|proportionate
disproportionately|proportionately
disprove|prove
disqualify|qualify
disqualifying|enabling
disreputability|reputability,respectability
disreputable|reputable
disreputableness|reputability,respectability
disreputably|reputably
disrepute|repute
disrespect|respect,esteem,respect
disrespectful|respectful
disrespectfully|respectfully
disrobe|dress
dissatisfaction|satisfaction
dissatisfy|satisfy
dissect|synthesize
dissension|agreement
dissent|agree,assent
disservice|service
dissever|unite
dissimilar|similar,alike,like
dissimilarity|similarity
dissimilate|assimilate
dissimilation|anabolism
dissimilitude|similitude,likeness
dissociate|associate
dissonance|agreement,harmony
dissonant|musical
dissuade|persuade
dissuasion|persuasion
dissuasive|persuasive
dissymmetry|symmetry
distal|mesial,proximal
distant|close
distemper|good
distinct|indistinct
distinctness|softness,indistinctness
distinguishable|indistinguishable
distort|untwist
distressed|euphoric
distributary|tributary
distribute|gather
distributed|concentrated
distribution|concentration
distributive|collective
distrust|trust,trust
distrustful|trustful
distrustfully|trustfully
distrustfulness|trust
disunify|unify
disunion|union
diurnal|nocturnal
diverge|converge,converge,conform
divergence|convergency,convergence
divergency|convergency,convergence
thinking|convergent
divergent|convergent
diverging|convergent
diversified|undiversified
diversify|specialize,specialise
divest|invest
divide|multiply,unite
divided|united
divider|lumper
duck|dabbling
divisible|indivisible
do|unmake
docile|stubborn
dock|undock
doctor|break
analogy|apophatism,cataphatism
documented|undocumented
dolichocephalic|brachycephalic
dolichocranial|brachycephalic
dolichocranic|brachycephalic
flight|international
domestic|undomestic,foreign
domestication|wildness
dominant|subordinate,recessive
domineering|submissive
off|wake
dormant|active
dorsal|adaxial,ventral
double|multivalent,univalent,single
double-barreled|single-barreled
double-barrelled|single-barreled
double-breasted|single-breasted
doubt|certainty
doubtfulness|certainty
dove|hawk
dovishness|hawkishness
stairs|upstairs
down|up,upwardly,upward,upwards,up
downfall|rise
downgrade|upgrade
download|upload
downmarket|upmarket
downplay|play
downriver|upstream,upriver
downslope|ascent
downstage|upstage
downstair|upstairs
downstairs|upstairs
downstream|upstream,upstream,upriver
downtick|uptick
downtime|uptime
downtown|uptown
downward|upwardly,upward,upwards,up
downwardly|upwardly,upward,upwards,up
downwards|upwardly,upward,upwards,up
downwind|upwind,leeward,upwind
off|wake
draft|discharge
draftee|volunteer
drained|undrained
dramatic|lyric,undramatic
dramatically|undramatically
blank|remember
in|repel,pull
off|deposit
draw|repel,push,deposit
down|dress
up|dress
dress|undress
off|wake
drinkable|undrinkable
drinker|nondrinker
drive|attract
driver|nondriver
wayside|enter
dead|be
off|wake
out|enter
drop|recuperate,sharpen,attend
drop-off|increase
off|wake
drowsiness|wakefulness
drumbeater|nonpartisan
drunk|sober
drunkenness|soberness
fly|wet
out|wet
season|rainy
up|hydrate
dry|wet,sweet,phlegmy
thermometer|wet-bulb
dry-eyed|tearful
dryness|wetness
dubiety|certainty
dubiousness|certainty
due|undue
dulcify|sour
dulcorate|sour
dull|lively,sharpen,sharp,bright
dullness|sharpness,brightness
bomb|smart
up|open
dying|nascent,birth
dynamic|stative,undynamic
dynamical|undynamic
dysgenic|eugenic
dysgenics|eugenics
dysphemism|euphemism
dysphemistic|euphemistic
dysphoria|euphoria
dysphoric|euphoric
dyspneal|breathing
dyspneic|breathing
dyspnoeal|breathing
dyspnoeic|breathing
dystopia|utopia
dystopian|utopian
eager|uneager
eared|earless
earless|eared
earliness|lateness
early|middle,late,late
run|unearned
earned|unearned
earnestness|frivolity
earthly|heavenly
ease|difficulty
easiness|difficulty
east|west
easterly|westerly
eastern|western
money|tight
easy|quickly,difficult,uneasy
in|eat
out|eat
eatable|inedible
apple|cooking
away|tide
down|tide
off|tide
out|tide
ebb|tide
ebbtide|flood
ebracteate|bracteate
eccentric|concentric
eccentricity|concentricity
eccrine|apocrine
ecdemic|endemic,epidemic
echoic|nonechoic
echt|counterfeit
economise|waste
economize|waste
ectomorphic|endomorphic,mesomorphic
edible|inedible
edifying|unedifying
educated|uneducated
edulcorate|sour
e'er|never
effective|ineffective
effectively|ineffectively,inefficaciously
effectiveness|ineffectiveness
effectivity|ineffectiveness
effector|receptor
effectual|ineffective
effectuality|ineffectiveness
effectually|ineffectually
effectualness|ineffectiveness
efferent|afferent
effervescent|noneffervescent,still
efficacious|ineffective,inefficacious
efficaciously|ineffectively,inefficaciously
efficaciousness|inefficacy
efficacy|inefficacy
efficiency|inefficiency
efficient|inefficient
efficiently|inefficiently
effluence|influx,inflow
efflux|influx,inflow
effortful|effortless
effortfulness|effortlessness
effortless|effortful
effortlessness|effortfulness
egalitarian|elitist
egocentric|altruistic
egocentrism|altruism
egoism|altruism
egoistic|altruistic
egoistical|altruistic
egotistically|unselfishly
egress|immersion,ingress
elaborate|contract
elastic|inelastic
elasticity|inelasticity
elate|depress
elated|dejected
elation|depression
elderly|young
elected|appointive
elective|appointive
cell|voltaic
electronegative|neutral,positive
electroneutral|positive,negative
mail|snail
electropositive|negative,neutral
elegance|inelegance
elegant|inelegant
elegantly|inelegantly
elevate|demote,lower
elevation|natural
eligibility|ineligibility
eligible|ineligible
eliminate|necessitate
elitist|egalitarian
eloquently|inarticulately,ineloquently,inarticulately
elucidate|obfuscate
email|snail
e-mail|snail
embark|disembark
embarkation|disembarkation
embarkment|disembarkation
embarrassment|disembarrassment
embellish|uglify
embolden|dishearten
emersion|immersion,ingress
emigrate|immigrate
emit|absorb
emmetropic|ametropic
person|unemotional
emotional|unemotional,cerebral
emotionalism|unemotionality
emotionality|unemotionality
emotionally|unemotionally
emotionlessness|emotionality
empathetically|unsympathetically
empiric|theoretical
empirical|theoretical
empirically|theoretically
employ|unemployment,fire
employable|unemployable
employed|unemployed
employee|employer
employer|employee
employment|unemployment
emptiness|fullness
empty|full,fill
emulsify|demulsify
enable|disable
enabling|disabling
enchant|disenchant
enchanted|disenchanted
encipher|decode
enclosed|unenclosed
enclothe|undress
encode|decode
encourage|discourage
encouragement|discouragement
encouraging|discouraging
encouragingly|discouragingly
encrypt|decode
encumbered|unencumbered
end|beginning,middle,begin,begin
endemic|cosmopolitan,epidemic,ecdemic
endemical|epidemic,ecdemic
ending|beginning,beginning,middle
endlessly|finitely
endocentric|exocentric
endocrinal|exocrine
endocrine|exocrine
endoergic|exoergic
endogamic|exogamous,autogamous,exogamous
endogamous|exogamous,autogamous,exogamous
endogamy|exogamy
endogenic|exogenic,exogenous
endogenous|exogenic,exogenous
endomorphic|mesomorphic,ectomorphic
endothermal|exothermic
endothermic|exothermic
endotoxin|exotoxin
endowed|unendowed
endozoic|epizoic
end-stopped|run-on
endure|enjoy
enemy|friend
energetic|lethargic
energise|de-energise,de-energize,sedate
energize|de-energise,de-energize,sedate
energy-absorbing|exoergic
energy-releasing|endoergic
enforce|exempt
enforceable|unenforceable
enforced|unenforced
enfranchise|disenfranchise
enfranchised|disenfranchised
enfranchisement|disenfranchisement
engage|fire,disengage
engagement|non-involvement,nonparticipation,non-engagement
enjoy|suffer
enjoyably|disagreeably,unpleasantly
enlace|untwine
enlarge|reduce,contract
enlarged|atrophied
enlargement|contraction
enlightened|unenlightened,uninitiate
enlightening|unedifying,unenlightening
enlightenment|unenlightenment
enlist|discharge
enliven|deaden
enlivened|unenlivened
enquiry|answer
enrapture|disenchant
enrich|impoverish,deprive
entangle|unsnarl,disentangle
enter|exit,drop
enterprising|unenterprising
entertaining|unentertaining
enthral|disenchant
enthrall|disenchant
enthrone|divest,dethrone
enthusiastic|unenthusiastic
enthusiastically|unenthusiastically
entirely|partly
entomophilous|anemophilous
entozoan|epizoic
entozoic|epizoic
entwine|untwine
environmentalism|hereditarianism
epidemic|endemic,ecdemic
epizoic|entozoic
equal|unequal,unlike,differ
equalitarian|elitist
equality|inequality
equally|unequally,unevenly
equanimity|discomposure
equatorial|polar
equilibrate|unbalance
equilibrise|unbalance
equilibrium|disequilibrium
equilibrize|unbalance
equipped|unequipped,unfurnished
equipping|disarmament,disarming
equipt|unequipped
equitable|inequitable
equitably|inequitably
equity|inequity,unfairness
equivalence|nonequivalence
word|antonym
equivalent|unlike
equivocal|unequivocal
equivocally|unambiguously
equivocalness|unequivocalness,unambiguity
eradicable|ineradicable
erase|record
erect|unerect,level
eremite|cenobite
eremitic|cenobitic
eremitical|cenobitic
errancy|inerrancy
eruptive|aqueous
escalate|de-escalate
esoteric|exoteric
essential|inessential,adjective
essentiality|inessentiality
essentialness|inessentiality
establish|disprove,abolish
established|unestablished
esteem|disesteem,disrespect,disesteem,disrespect
esthesia|insensibility
esthetic|inaesthetic
esthetical|inaesthetic
estimable|contemptible
estivate|hibernate
estrous|anestrous
estrus|anestrus
drug|over-the-counter
ethical|unethical
ethically|unethically
eucaryote|prokaryote
eucaryotic|procaryotic,prokaryotic
eudaemon|cacodemon
eudaemonia|ill-being
eudaimonia|ill-being
eudemon|cacodemon
eugenic|dysgenic
eugenics|dysgenics
eukaryote|prokaryote
eukaryotic|procaryotic,prokaryotic
euphemism|dysphemism
euphemistic|dysphemistic
euphonious|cacophonous
euphonous|cacophonous
euphoria|dysphoria
euphoric|dysphoric
euphory|dysphoria
eupneic|breathless
eupnoeic|breathless
eusporangiate|leptosporangiate
